date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:39	26777/26777	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2007:14:38%20GMT	https://amoghhealthcare.fun/	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/index.html	(from )
12:44:39	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-61e9ff60-b309120e23c3ec26;gz%22	https://amoghhealthcare.fun/robots.txt		(from )
12:44:39	741/741	---M-Z	200	added ('OK')	text/html	etag:%222e5-6568aae2-ae0b6753160529b4;gz%22	https://amoghhealthcare.fun/images/favicon.html	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/images/favicon.html	(from https://amoghhealthcare.fun/)
12:44:39	122548/122548	---M-Z	200	added ('OK')	text/css	etag:%221deb4-6568aad9-54f4742d1db0d69f;gz%22	https://amoghhealthcare.fun/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/css/bootstrap.min.css	(from https://amoghhealthcare.fun/)
12:44:40	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-61e9ff60-b309120e23c3ec26;gz%22	https://amoghhealthcare.fun/www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/www.google.com/recaptcha/api.js	(from https://amoghhealthcare.fun/)
12:44:40	26739/26739	---M-Z	200	added ('OK')	text/css	etag:%226873-6568aad9-6b782220bb51806e;gz%22	https://amoghhealthcare.fun/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/css/font-awesome.min.css	(from https://amoghhealthcare.fun/)
12:44:40	20651/20651	---M-Z	200	added ('OK')	text/css	etag:%2250ab-6568aae2-e6a6cc1f8d850e46;gz%22	https://amoghhealthcare.fun/style.css	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/style.css	(from https://amoghhealthcare.fun/)
12:44:40	26816/26816	---M-Z	200	added ('OK')	text/css	etag:%2268c0-6568aad9-8ff64de0b8da7edd;gz%22	https://amoghhealthcare.fun/assets/css/icomoon.css	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/css/icomoon.css	(from https://amoghhealthcare.fun/)
12:44:41	43984/43984	---M--	200	added ('OK')	image/png	etag:%22abd0-6568aae0-2e9b2273d38f35eb;;;%22	https://amoghhealthcare.fun/assets/images/order-now-button.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/order-now-button.png	(from https://amoghhealthcare.fun/)
12:44:42	26777/26777	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2007:14:41%20GMT	https://amoghhealthcare.fun/index.php	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/index-2.html	(from https://amoghhealthcare.fun/)
12:44:42	6891/6891	---M--	200	added ('OK')	image/png	etag:%221aeb-6568aadd-ac1cdc99fc574c36;;;%22	https://amoghhealthcare.fun/assets/images/call-now(1).png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/call-now(1).png	(from https://amoghhealthcare.fun/)
12:44:42	73416/73416	---M--	200	added ('OK')	image/png	etag:%2211ec8-6568aadd-409023933c905dfc;;;%22	https://amoghhealthcare.fun/assets/images/call-now-button.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/call-now-button.png	(from https://amoghhealthcare.fun/)
12:44:42	12876/12876	---M--	200	added ('OK')	image/png	etag:%22324c-6568aadc-4f003f794b7dac48;;;%22	https://amoghhealthcare.fun/assets/images/brand1.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/brand1.png	(from https://amoghhealthcare.fun/)
12:44:42	14005/14005	---M--	200	added ('OK')	image/png	etag:%2236b5-6568aadc-806a2373cb512ed3;;;%22	https://amoghhealthcare.fun/assets/images/brand2.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/brand2.png	(from https://amoghhealthcare.fun/)
12:44:42	11146/11146	---M--	200	added ('OK')	image/png	etag:%222b8a-6568aadc-f653b56f22402b90;;;%22	https://amoghhealthcare.fun/assets/images/brand3.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/brand3.png	(from https://amoghhealthcare.fun/)
12:44:43	10814/10814	---M--	200	added ('OK')	image/png	etag:%222a3e-6568aadd-d221a13203c1a009;;;%22	https://amoghhealthcare.fun/assets/images/brand4.png	C:/My%20Web%20Sites/AMGNEW/amoghhealthcare.fun/assets/images/brand4.png	(from https://amoghhealthcare.fun/)
